Time,Target,EffTarget,Current,Mode,SafeState,k_used,c_used,vmax_s,ErrToDoctor,ErrToEff
2025-10-09 19:55:18,20.00,20.00,16.26,normal,IDLE,0.060,0.400,-1.00,4.32,4.32
2025-10-09 19:55:18,20.00,20.00,16.29,normal,IDLE,0.080,0.400,-1.00,4.53,4.53
2025-10-09 19:55:18,20.00,20.00,16.83,normal,IDLE,0.060,0.400,-1.00,3.74,3.74
2025-10-09 19:55:18,20.00,20.00,17.07,normal,IDLE,0.080,0.400,-1.00,3.71,3.71
2025-10-09 19:55:18,20.00,20.00,17.37,normal,IDLE,0.060,0.400,-1.00,3.17,3.17
2025-10-09 19:55:18,20.00,20.00,17.78,normal,IDLE,0.080,0.400,-1.00,2.93,2.93
2025-10-09 19:55:18,20.00,20.00,17.84,normal,IDLE,0.060,0.400,-1.00,2.63,2.63
2025-10-09 19:55:18,20.00,20.00,18.38,normal,IDLE,0.080,0.400,-1.00,2.22,2.22
2025-10-09 19:55:18,20.00,20.00,18.26,normal,IDLE,0.060,0.400,-1.00,2.16,2.16
2025-10-09 19:55:18,20.00,20.00,18.87,normal,IDLE,0.080,0.400,-1.00,1.62,1.62
2025-10-09 19:55:19,20.00,20.00,18.62,normal,IDLE,0.060,0.400,-1.00,1.74,1.74
2025-10-09 19:55:19,20.00,20.00,19.25,normal,IDLE,0.080,0.400,-1.00,1.13,1.13
2025-10-09 19:55:19,20.00,20.00,18.91,normal,IDLE,0.060,0.400,-1.00,1.38,1.38
2025-10-09 19:55:19,20.00,20.00,19.54,normal,IDLE,0.070,0.400,-1.00,0.75,0.75
2025-10-09 19:55:19,20.00,20.00,19.15,normal,IDLE,0.060,0.400,-1.00,1.09,1.09
2025-10-09 19:55:19,20.00,20.00,19.73,normal,IDLE,0.060,0.400,-1.00,0.46,0.46
2025-10-09 19:55:19,25.00,25.00,19.71,normal,IDLE,0.070,0.400,-1.00,5.85,5.85
2025-10-09 19:55:19,25.00,25.00,20.22,normal,IDLE,0.070,0.400,-1.00,5.27,5.27
2025-10-09 19:55:19,25.00,25.00,20.46,normal,IDLE,0.080,0.400,-1.00,5.29,5.29
2025-10-09 19:55:19,25.00,25.00,20.85,normal,IDLE,0.070,0.400,-1.00,4.78,4.78
2025-10-09 19:55:19,25.00,25.00,21.28,normal,IDLE,0.080,0.400,-1.00,4.54,4.54
2025-10-09 19:55:19,25.00,25.00,21.52,normal,IDLE,0.070,0.400,-1.00,4.15,4.15
2025-10-09 19:55:19,25.00,25.00,22.07,normal,IDLE,0.080,0.400,-1.00,3.72,3.72
2025-10-09 19:55:19,25.00,25.00,22.16,normal,IDLE,0.070,0.400,-1.00,3.48,3.48
2025-10-09 19:55:19,25.00,25.00,22.78,normal,IDLE,0.080,0.400,-1.00,2.93,2.93
2025-10-09 19:55:19,25.00,25.00,22.74,normal,IDLE,0.070,0.400,-1.00,2.84,2.84
2025-10-09 19:55:19,25.00,25.00,23.38,normal,IDLE,0.080,0.400,-1.00,2.22,2.22
2025-10-09 19:55:19,25.00,25.00,23.25,normal,IDLE,0.070,0.400,-1.00,2.26,2.26
2025-10-09 19:55:19,25.00,25.00,23.87,normal,IDLE,0.080,0.400,-1.00,1.62,1.62
2025-10-09 19:55:19,25.00,25.00,23.68,normal,IDLE,0.070,0.400,-1.00,1.75,1.75
2025-10-09 19:55:20,25.00,25.00,24.25,normal,IDLE,0.080,0.400,-1.00,1.13,1.13
2025-10-09 19:55:20,25.00,25.00,24.03,normal,IDLE,0.070,0.400,-1.00,1.32,1.32
2025-10-09 19:55:20,25.00,25.00,24.54,normal,IDLE,0.070,0.400,-1.00,0.75,0.75
2025-10-09 19:55:20,25.00,25.00,24.30,normal,IDLE,0.060,0.400,-1.00,0.97,0.97
2025-10-09 19:55:20,25.00,25.00,24.74,normal,IDLE,0.060,0.400,-1.00,0.46,0.46
2025-10-09 19:55:20,25.00,25.00,24.49,normal,IDLE,0.050,0.400,-1.00,0.70,0.70
2025-10-09 19:55:20,30.00,30.00,25.22,normal,IDLE,0.070,0.400,-1.00,5.26,5.26
2025-10-09 19:55:20,30.00,30.00,24.94,normal,IDLE,0.060,0.400,-1.00,5.51,5.51
2025-10-09 19:55:20,30.00,30.00,25.85,normal,IDLE,0.070,0.400,-1.00,4.78,4.78
2025-10-09 19:55:20,30.00,30.00,25.56,normal,IDLE,0.070,0.400,-1.00,5.06,5.06
2025-10-09 19:55:20,30.00,30.00,26.52,normal,IDLE,0.070,0.400,-1.00,4.15,4.15
2025-10-09 19:55:20,30.00,30.00,26.25,normal,IDLE,0.070,0.400,-1.00,4.44,4.44
2025-10-09 19:55:20,30.00,30.00,27.16,normal,IDLE,0.070,0.400,-1.00,3.48,3.48
2025-10-09 19:55:20,30.00,30.00,26.92,normal,IDLE,0.070,0.400,-1.00,3.75,3.75
2025-10-09 19:55:20,30.00,30.00,27.74,normal,IDLE,0.070,0.400,-1.00,2.84,2.84
2025-10-09 19:55:20,30.00,30.00,27.54,normal,IDLE,0.070,0.400,-1.00,3.08,3.08
2025-10-09 19:55:20,30.00,30.00,28.25,normal,IDLE,0.070,0.400,-1.00,2.26,2.26
2025-10-09 19:55:20,30.00,30.00,28.08,normal,IDLE,0.070,0.400,-1.00,2.46,2.46
2025-10-09 19:55:20,30.00,30.00,28.68,normal,IDLE,0.070,0.400,-1.00,1.75,1.75
2025-10-09 19:55:21,30.00,30.00,28.54,normal,IDLE,0.070,0.400,-1.00,1.92,1.92
2025-10-09 19:55:21,30.00,30.00,29.03,normal,IDLE,0.070,0.400,-1.00,1.32,1.32
2025-10-09 19:55:21,30.00,30.00,28.92,normal,IDLE,0.070,0.400,-1.00,1.46,1.46
2025-10-09 19:55:21,30.00,30.00,29.30,normal,IDLE,0.060,0.400,-1.00,0.97,0.97
2025-10-09 19:55:21,30.00,30.00,29.23,normal,IDLE,0.070,0.400,-1.00,1.08,1.08
2025-10-09 19:55:21,30.00,30.00,29.49,normal,IDLE,0.050,0.400,-1.00,0.70,0.70
2025-10-09 19:55:21,30.00,30.00,29.45,normal,IDLE,0.060,0.400,-1.00,0.77,0.77
2025-10-09 19:55:21,35.00,35.00,29.94,normal,IDLE,0.060,0.400,-1.00,5.51,5.51
2025-10-09 19:55:21,35.00,35.00,29.98,normal,IDLE,0.070,0.400,-1.00,5.55,5.55
2025-10-09 19:55:21,35.00,35.00,30.56,normal,IDLE,0.070,0.400,-1.00,5.06,5.06
2025-10-09 19:55:21,35.00,35.00,30.69,normal,IDLE,0.080,0.400,-1.00,5.02,5.02
2025-10-09 19:55:21,35.00,35.00,31.25,normal,IDLE,0.070,0.400,-1.00,4.44,4.44
2025-10-09 19:55:21,35.00,35.00,31.47,normal,IDLE,0.080,0.400,-1.00,4.31,4.31
2025-10-09 19:55:21,35.00,35.00,31.92,normal,IDLE,0.070,0.400,-1.00,3.75,3.75
2025-10-09 19:55:21,35.00,35.00,32.22,normal,IDLE,0.080,0.400,-1.00,3.53,3.53
2025-10-09 19:55:21,35.00,35.00,32.54,normal,IDLE,0.070,0.400,-1.00,3.08,3.08
2025-10-09 19:55:21,35.00,35.00,32.89,normal,IDLE,0.080,0.400,-1.00,2.78,2.78
2025-10-09 19:55:21,35.00,35.00,33.08,normal,IDLE,0.070,0.400,-1.00,2.46,2.46
2025-10-09 19:55:21,35.00,35.00,33.46,normal,IDLE,0.080,0.400,-1.00,2.11,2.11
2025-10-09 19:55:21,35.00,35.00,33.54,normal,IDLE,0.070,0.400,-1.00,1.92,1.92
2025-10-09 19:55:21,35.00,35.00,33.93,normal,IDLE,0.080,0.400,-1.00,1.54,1.54
2025-10-09 19:55:22,35.00,35.00,33.92,normal,IDLE,0.070,0.400,-1.00,1.46,1.46
2025-10-09 19:55:22,35.00,35.00,34.23,normal,IDLE,0.070,0.400,-1.00,1.08,1.08
2025-10-09 19:55:22,35.00,35.00,34.29,normal,IDLE,0.080,0.400,-1.00,1.07,1.07
2025-10-09 19:55:22,35.00,35.00,34.56,normal,IDLE,0.070,0.400,-1.00,0.71,0.71
2025-10-09 19:55:22,35.00,35.00,34.45,normal,IDLE,0.060,0.400,-1.00,0.77,0.77
2025-10-09 19:55:22,35.00,35.00,34.75,normal,IDLE,0.060,0.400,-1.00,0.44,0.44
2025-10-09 19:55:22,40.00,40.00,34.98,normal,IDLE,0.070,0.400,-1.00,5.55,5.55
2025-10-09 19:55:22,40.00,40.00,35.23,normal,IDLE,0.070,0.400,-1.00,5.25,5.25
2025-10-09 19:55:22,40.00,40.00,35.69,normal,IDLE,0.080,0.400,-1.00,5.02,5.02
2025-10-09 19:55:22,40.00,40.00,35.85,normal,IDLE,0.070,0.400,-1.00,4.77,4.77
2025-10-09 19:55:22,40.00,40.00,36.47,normal,IDLE,0.080,0.400,-1.00,4.31,4.31
2025-10-09 19:55:22,40.00,40.00,36.51,normal,IDLE,0.070,0.400,-1.00,4.15,4.15
2025-10-09 19:55:22,40.00,40.00,37.22,normal,IDLE,0.080,0.400,-1.00,3.53,3.53
2025-10-09 19:55:22,40.00,40.00,37.16,normal,IDLE,0.070,0.400,-1.00,3.49,3.49
2025-10-09 19:55:22,40.00,40.00,37.89,normal,IDLE,0.080,0.400,-1.00,2.78,2.78
2025-10-09 19:55:22,40.00,40.00,37.74,normal,IDLE,0.070,0.400,-1.00,2.84,2.84
